variable,response,count,proportion
q09_original_q15_judgment_basis,Pre-collision direction and speed|Post-collision motion trend|Patterns or experience from previous trials,2,0.006993006993006993
q09_original_q15_judgment_basis,Downward gravity or acceleration|Post-collision motion trend,2,0.006993006993006993
q09_original_q15_judgment_basis,Post-collision motion trend|Whether post-collision motion remained approximately constant-speed|Relationship between the two ball sizes,2,0.006993006993006993
q09_original_q15_judgment_basis,Downward gravity or acceleration|Post-collision motion trend|Whether post-collision motion remained approximately constant-speed,2,0.006993006993006993
q09_original_q15_judgment_basis,Pre-collision direction and speed|Post-collision motion trend|Intuition or guess,2,0.006993006993006993
q09_original_q15_judgment_basis,Relationship between the two ball sizes,2,0.006993006993006993
q09_original_q15_judgment_basis,Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Candidate landing positions and distance|Relationship between the two ball sizes,1,0.0034965034965034965
q09_original_q15_judgment_basis,Post-collision motion trend|Candidate landing positions and distance|Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Downward gravity or acceleration|Whether post-collision motion remained approximately constant-speed,1,0.0034965034965034965
q09_original_q15_judgment_basis,Pre-collision direction and speed|Downward gravity or acceleration|Whether post-collision motion remained approximately constant-speed,1,0.0034965034965034965
q09_original_q15_judgment_basis,Pre-collision direction and speed|Downward gravity or acceleration|Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Post-collision motion trend|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Downward gravity or acceleration|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Downward gravity or acceleration|Post-collision motion trend|Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Post-collision motion trend|Patterns or experience from previous trials|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Downward gravity or acceleration|Whether post-collision motion remained approximately constant-speed|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Post-collision motion trend|Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Pre-collision direction and speed|Candidate landing positions and distance|Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Candidate landing positions and distance,1,0.0034965034965034965
q09_original_q15_judgment_basis,Pre-collision direction and speed|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Post-collision motion trend|Candidate landing positions and distance|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Pre-collision direction and speed|Candidate landing positions and distance|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Whether post-collision motion remained approximately constant-speed|Candidate landing positions and distance,1,0.0034965034965034965
q09_original_q15_judgment_basis,Downward gravity or acceleration|Candidate landing positions and distance|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Patterns or experience from previous trials|Intuition or guess,1,0.0034965034965034965
q09_original_q15_judgment_basis,Relationship between the two ball sizes|Patterns or experience from previous trials,1,0.0034965034965034965
q09_original_q15_judgment_basis,Relationship between the two ball sizes|Patterns or experience from previous trials|Intuition or guess,1,0.0034965034965034965
q10_original_q16_perceived_motion,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",201,0.7027972027972028
q10_original_q16_perceived_motion,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",44,0.15384615384615385
q10_original_q16_perceived_motion,I did not clearly perceive different motion rules between the two conditions,19,0.06643356643356643
q10_original_q16_perceived_motion,I thought the balls in both conditions were affected by gravity,15,0.05244755244755245
q10_original_q16_perceived_motion,I thought the balls in neither condition were affected by gravity,6,0.02097902097902098
q10_original_q16_perceived_motion,"Other: I felt that zero gravity was only the gravity condition flipped vertically; in other words, zero gravity felt more like upward gravity",1,0.0034965034965034965
q11_original_q17_post_confidence_adjustment,Sometimes,105,0.36713286713286714
q11_original_q17_post_confidence_adjustment,Rarely,84,0.2937062937062937
q11_original_q17_post_confidence_adjustment,Often,59,0.2062937062937063
q11_original_q17_post_confidence_adjustment,Never,32,0.11188811188811189
q11_original_q17_post_confidence_adjustment,Almost every time,6,0.02097902097902098
q12_original_q18_confidence_seriousness,Often,139,0.486013986013986
q12_original_q18_confidence_seriousness,Almost every time,93,0.32517482517482516
q12_original_q18_confidence_seriousness,Sometimes,41,0.14335664335664336
q12_original_q18_confidence_seriousness,Rarely,11,0.038461538461538464
q12_original_q18_confidence_seriousness,Never,2,0.006993006993006993
